nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,crystal_system,a,b,c,alpha,beta,gamma,element_1,element_2,element_3,atomic_num1,atomic_num2,atomic_num3
5,Ag-I-S,123.3438234,6.496742794,24.66876468,-3.091646502,-0.2635387115,FALSE,0.2474,2.854,2.6066,2.66563138,FALSE,FALSE,FALSE,NM,9.51E-05,7.71E-07,9.51E-05,Triclinic,4.892054,4.925177547,5.12078399,89.94357745,89.40346588,88.71918978,Ag,I,S,47,53,16
10,Ag-I-S,244.0308376,6.567474043,24.40308376,-3.080563733,-0.2524559425,FALSE,0.257,2.9751,2.7181,2.71814897,FALSE,FALSE,FALSE,NM,0.0009483,3.89E-06,0.00047415,Triclinic,10.15182148,7.09353404,7.010985412,58.88260302,43.45932273,44.64430486,Ag,I,S,47,53,16
5,Ag-I-S,123.7565456,6.475076465,24.75130912,-3.08810371,-0.2599959195,FALSE,0.2624,2.8016,2.5392,2.67515871,FALSE,FALSE,FALSE,NM,0.0002521,2.04E-06,0.0002521,Monoclinic,4.876098,5.020287,5.059902651,87.61947899,90,90,Ag,I,S,47,53,16
10,Ag-I-S,247.3237632,6.480033179,24.73237632,-3.089818992,-0.2617112015,FALSE,0.3216,2.8941,2.5725,2.6540397,TRUE,FALSE,FALSE,NM,0.0007676,3.10E-06,0.0003838,Monoclinic,7.169073,4.912614,7.022944576,89.3374277,90,90,Ag,I,S,47,53,16
10,Ag-I-S,271.0771016,5.912215315,27.10771016,-3.091394415,-0.2632866245,FALSE,0.3739,2.2798,1.9059,1.91248263,FALSE,FALSE,FALSE,NM,0.0005631,2.08E-06,0.00028155,Triclinic,4.31969,4.732148164,13.27867368,89.65796526,87.07948282,89.88724023,Ag,I,S,47,53,16
5,Ag-I-S,124.8693673,6.417371315,24.97387346,-3.08771653,-0.2596087395,FALSE,0.333,2.854,2.521,2.58218914,FALSE,FALSE,FALSE,NM,0.0001742,1.40E-06,0.0001742,Trigonal,4.999040194,4.999040194,4.999040596,91.00785625,91.00785625,91.00786029,Ag,I,S,47,53,16
10,Ag-As-O,119.2805516,6.425733028,11.92805516,-5.741099904,-1.267129628,TRUE,0.2921,2.8765,2.5844,2.6978486,TRUE,FALSE,FALSE,NM,0,0,0,Trigonal,6.389075483,6.389075483,6.389075851,45.13452662,45.13452672,45.13451435,Ag,As,O,47,33,8
120,Ag-As-O,1728.699515,5.320519664,14.40582929,-5.71533459,-1.241364314,FALSE,0.4985,1.98,1.4815,1.58285493,TRUE,FALSE,FALSE,NM,7.65E-05,4.43E-08,3.19E-06,Orthorhombic,6.755519,12.790828,20.006086,90,90,90,Ag,As,O,47,33,8
20,Ag-As-O,304.7254522,5.030528133,15.23627261,-5.70383204,-1.229861764,FALSE,0.5617,1.7367,1.175,1.22361221,FALSE,FALSE,FALSE,NM,0.0002303,7.56E-07,5.76E-05,Monoclinic,7.778960826,7.778960826,5.158002727,81.14945767,81.14945767,88.23298173,Ag,As,O,47,33,8
20,Ag-Au-O,294.2950671,7.963340123,14.71475336,-4.189676009,0.005046159667,FALSE,0,,,1.95897879,FALSE,TRUE,FALSE,NM,1.10E-06,3.74E-09,2.75E-07,Orthorhombic,6.423519613,6.423519613,7.539733,90,90,108.9190307,Ag,Au,O,47,79,8
20,Ag-Au-O,273.4886772,8.569172737,13.67443386,-4.548984381,-0.3542622118,FALSE,0.2423,2.4394,2.1971,2.26813907,FALSE,FALSE,FALSE,NM,3.77E-05,1.38E-07,9.43E-06,Cubic,7.28592645,7.28592645,7.28592645,60,60,60,Ag,Au,O,47,79,8
10,Ag-B-O,109.9353807,5.035218551,10.99353807,-6.374372164,-1.498548041,FALSE,0,,,1.30686632,FALSE,TRUE,FALSE,NM,0.0013824,1.26E-05,0.0006912,Trigonal,6.001194421,6.001194421,6.001195138,48.15921914,48.15921914,48.15922374,Ag,B,O,47,5,8
5,Ag-B-O,42.26372549,6.548744367,8.452745098,-5.419856482,-0.5440323587,FALSE,0,,,4.27022569,FALSE,TRUE,TRUE,FM,1.9870728,0.04701603508,1.9870728,Cubic,3.483287,3.483287,3.483287,90,90,90,Ag,B,O,47,5,8
10,Ag-Bi-O,154.6300754,7.836022365,15.46300754,-5.318382012,-1.010338417,FALSE,0,,,2.46615951,FALSE,TRUE,FALSE,NM,0.0003776,2.44E-06,0.0001888,Trigonal,6.303216286,6.303216286,6.303216494,54.56053531,54.56053531,54.5605319,Ag,Bi,O,47,83,8
10,Ag-Bi-O,149.2659069,8.117625484,14.92659069,-5.340340333,-1.032296738,FALSE,0,,,3.39612036,FALSE,TRUE,TRUE,FM,0.7032733,0.004711546761,0.35163665,Orthorhombic,6.68804174,6.68804174,3.49088122,90,90,107.0726382,Ag,Bi,O,47,83,8
5,Ag-Br-O,77.26506831,5.067049942,15.45301366,-4.149789242,-0.2992378068,FALSE,2.383,2.4714,0.0884,0.20452333,FALSE,FALSE,FALSE,NM,0,0,0,Trigonal,4.30379165,4.30379165,4.303792864,81.38578014,81.38578014,81.3857794,Ag,Br,O,47,35,8
10,Ag-C-O,113.345982,4.918859547,11.3345982,-6.617188799,-1.231509931,FALSE,0,,,0.93808798,FALSE,TRUE,FALSE,NM,4.78E-05,4.22E-07,2.39E-05,Trigonal,6.031251394,6.031251806,6.031252522,48.62751633,48.62751289,48.62750179,Ag,C,O,47,6,8
5,Ag-Cl-O,76.84405819,4.134260285,15.36881164,-4.259784518,-0.3501314168,FALSE,2.7117,3.0147,0.303,0.3839296,FALSE,FALSE,FALSE,NM,0.0010287,1.34E-05,0.0010287,Trigonal,4.324921442,4.324921442,4.324920985,78.85146232,78.85146232,78.85145527,Ag,Cl,O,47,17,8
20,Ag-Cl-O,307.0636281,4.138469149,15.35318141,-4.314317366,-0.4046642648,FALSE,2.3983,3.2434,0.8451,0.92403465,FALSE,FALSE,FALSE,NM,6.30E-05,2.05E-07,1.58E-05,Tetragonal,7.367087862,7.367087862,7.367087862,107.8848222,107.8848222,112.6928519,Ag,Cl,O,47,17,8
